name,geometry
Mont Saint-Saveur,"<Point><coordinates>-74.171906,45.878536,0.0</coordinates></Point>"
Mont Habitant,"<Point><coordinates>-74.189499,45.875427,0.0</coordinates></Point>"
Mont Blanc,"<Point><coordinates>-74.702454,46.126556,0.0</coordinates></Point>"
Owl's Head,"<Point><coordinates>-72.310638,45.09243,0.0</coordinates></Point>"
Mont Orford,"<Point><coordinates>-72.218056,45.396523,0.0</coordinates></Point>"
Bromont,"<Point><coordinates>-72.637924,45.302544,0.0</coordinates></Point>"
Sutton,"<Point><coordinates>-72.577431,45.106365,0.0</coordinates></Point>"
Cockaigne Ski Resort,"<Point><coordinates>-79.175819,42.27737,0.0</coordinates></Point>"
Camp Fortune,"<Point><coordinates>-75.847977,45.510136,0.0</coordinates></Point>"
Edelweiss,"<Point><coordinates>-75.849464,45.643929,0.0</coordinates></Point>"
Mont Cascades,"<Point><coordinates>-75.82267,45.574039,0.0</coordinates></Point>"
Mt. Ste. Marie,"<Point><coordinates>-75.975914,45.932049,0.0</coordinates></Point>"
Vorlage,"<Point><coordinates>-75.935883,45.64687,0.0</coordinates></Point>"
Mohawk Mountain,"<Point><coordinates>-73.316628,41.836826,0.0</coordinates></Point>"
Mount Southington,"<Point><coordinates>-72.86438,41.639534,0.0</coordinates></Point>"
Ski Sundown,"<Point><coordinates>-72.951721,41.886944,0.0</coordinates></Point>"
Woodbury Ski Area,"<Point><coordinates>-73.235268,41.577187,0.0</coordinates></Point>"
Bogus Basin,"<Point><coordinates>-116.10173,43.763657,0.0</coordinates></Point>"
Brundage Mountain,"<Point><coordinates>-116.125687,45.026344,0.0</coordinates></Point>"
Kelly Canyon Ski Resort,"<Point><coordinates>-112.671593,44.120251,0.0</coordinates></Point>"
Lookout Pass,"<Point><coordinates>-115.697807,47.456997,0.0</coordinates></Point>"
Magic Mountain,"<Point><coordinates>-114.498367,42.54195,0.0</coordinates></Point>"
Pebble Creek,"<Point><coordinates>-112.159439,42.777573,0.0</coordinates></Point>"
Pomerelle Mountain,"<Point><coordinates>-113.532715,42.326061,0.0</coordinates></Point>"
Silver Mountain,"<Point><coordinates>-116.729736,48.95903,0.0</coordinates></Point>"
Soldier Mountain,"<Point><coordinates>-114.744316,43.397377,0.0</coordinates></Point>"
Sun Valley,"<Point><coordinates>-114.365387,43.727444,0.0</coordinates></Point>"
Tamarack Resort,"<Point><coordinates>-116.118637,44.672314,0.0</coordinates></Point>"
Paoli Peaks,"<Point><coordinates>-86.512459,38.553535,0.0</coordinates></Point>"
Perfect North Slopes,"<Point><coordinates>-84.887718,39.146935,0.0</coordinates></Point>"
Beaver Mountain,"<Point><coordinates>-111.533203,41.975826,0.0</coordinates></Point>"
